0.104417 0.105117 0.105987 0.10036 0.157983 0.989152 0.227405 0.197937 0.812711 0.415709 0.622592 0.000365519 0.340909 0.460743 0.998348 0.625276 0.79282 0.000324709 	0.10121 0.147942 0.103429 0.140863 0.278905 0.986436 0.162215 0.126572 0.801867 0.376949 0.548202 0.000621459 0.377119 0.508048 0.998237 0.722291 0.784126 0.000311989 	0.1454 0.171302 0.144727 0.152332 0.370988 0.989893 0.174851 0.168991 0.796579 0.437969 0.61063 0.000448469 0.37054 0.50205 0.99847 0.8218 0.80535 0.000490726 		0.217567
0.10121 0.147942 0.103429 0.140863 0.278905 0.986436 0.162215 0.126572 0.801867 0.376949 0.548202 0.000621459 0.377119 0.508048 0.998237 0.722291 0.784126 0.000311989 	0.1454 0.171302 0.144727 0.152332 0.370988 0.989893 0.174851 0.168991 0.796579 0.437969 0.61063 0.000448469 0.37054 0.50205 0.99847 0.8218 0.80535 0.000490726 	0.165001 0.212712 0.165559 0.217567 0.356645 0.987966 0.148609 0.121757 0.791088 0.427783 0.549848 0.00058534 0.398409 0.540974 0.998323 0.873861 0.765107 0.000568483 		0.210756
0.1454 0.171302 0.144727 0.152332 0.370988 0.989893 0.174851 0.168991 0.796579 0.437969 0.61063 0.000448469 0.37054 0.50205 0.99847 0.8218 0.80535 0.000490726 	0.165001 0.212712 0.165559 0.217567 0.356645 0.987966 0.148609 0.121757 0.791088 0.427783 0.549848 0.00058534 0.398409 0.540974 0.998323 0.873861 0.765107 0.000568483 	0.222377 0.232886 0.184198 0.210756 0.395579 0.990219 0.249102 0.171715 0.771161 0.455136 0.624506 0.000378826 0.386618 0.536779 0.998981 0.920389 0.802458 0.000935957 		0.265238
0.165001 0.212712 0.165559 0.217567 0.356645 0.987966 0.148609 0.121757 0.791088 0.427783 0.549848 0.00058534 0.398409 0.540974 0.998323 0.873861 0.765107 0.000568483 	0.222377 0.232886 0.184198 0.210756 0.395579 0.990219 0.249102 0.171715 0.771161 0.455136 0.624506 0.000378826 0.386618 0.536779 0.998981 0.920389 0.802458 0.000935957 	0.202776 0.262262 0.202471 0.265238 0.331198 0.989797 0.276275 0.135 0.746586 0.427672 0.590472 0.000360359 0.414251 0.560329 0.99929 0.949561 0.787518 0.00135017 		0.199645
0.222377 0.232886 0.184198 0.210756 0.395579 0.990219 0.249102 0.171715 0.771161 0.455136 0.624506 0.000378826 0.386618 0.536779 0.998981 0.920389 0.802458 0.000935957 	0.202776 0.262262 0.202471 0.265238 0.331198 0.989797 0.276275 0.135 0.746586 0.427672 0.590472 0.000360359 0.414251 0.560329 0.99929 0.949561 0.787518 0.00135017 	0.247679 0.301902 0.162635 0.199645 0.322389 0.988774 0.169855 0.151253 0.768081 0.430117 0.5074 0.000248129 0.396419 0.514857 0.998601 0.964463 0.73449 0.000710808 		0.240148
0.202776 0.262262 0.202471 0.265238 0.331198 0.989797 0.276275 0.135 0.746586 0.427672 0.590472 0.000360359 0.414251 0.560329 0.99929 0.949561 0.787518 0.00135017 	0.247679 0.301902 0.162635 0.199645 0.322389 0.988774 0.169855 0.151253 0.768081 0.430117 0.5074 0.000248129 0.396419 0.514857 0.998601 0.964463 0.73449 0.000710808 	0.224515 0.244919 0.196624 0.240148 0.47386 0.991143 0.350369 0.17709 0.729281 0.444926 0.607672 0.000321042 0.387816 0.566217 0.999514 0.978401 0.821105 0.00180575 		0.227603
0.247679 0.301902 0.162635 0.199645 0.322389 0.988774 0.169855 0.151253 0.768081 0.430117 0.5074 0.000248129 0.396419 0.514857 0.998601 0.964463 0.73449 0.000710808 	0.224515 0.244919 0.196624 0.240148 0.47386 0.991143 0.350369 0.17709 0.729281 0.444926 0.607672 0.000321042 0.387816 0.566217 0.999514 0.978401 0.821105 0.00180575 	0.225941 0.245981 0.226593 0.227603 0.384322 0.989231 0.241158 0.189066 0.749353 0.463611 0.595042 0.000366209 0.387223 0.556757 0.999287 0.973185 0.796376 0.00120936 		0.231187
0.224515 0.244919 0.196624 0.240148 0.47386 0.991143 0.350369 0.17709 0.729281 0.444926 0.607672 0.000321042 0.387816 0.566217 0.999514 0.978401 0.821105 0.00180575 	0.225941 0.245981 0.226593 0.227603 0.384322 0.989231 0.241158 0.189066 0.749353 0.463611 0.595042 0.000366209 0.387223 0.556757 0.999287 0.973185 0.796376 0.00120936 	0.23485 0.245981 0.233902 0.231187 0.265818 0.991299 0.177549 0.213547 0.740524 0.418435 0.624542 0.000546199 0.388417 0.647046 0.999575 0.974989 0.790692 0.00117337 		0.244449
0.225941 0.245981 0.226593 0.227603 0.384322 0.989231 0.241158 0.189066 0.749353 0.463611 0.595042 0.000366209 0.387223 0.556757 0.999287 0.973185 0.796376 0.00120936 	0.23485 0.245981 0.233902 0.231187 0.265818 0.991299 0.177549 0.213547 0.740524 0.418435 0.624542 0.000546199 0.388417 0.647046 0.999575 0.974989 0.790692 0.00117337 	0.232355 0.242796 0.227324 0.244449 0.221641 0.992834 0.235984 0.233658 0.725295 0.474625 0.551068 0.00015674 0.368832 0.531602 0.999652 0.991764 0.75321 0.00141922 		0.271689
0.23485 0.245981 0.233902 0.231187 0.265818 0.991299 0.177549 0.213547 0.740524 0.418435 0.624542 0.000546199 0.388417 0.647046 0.999575 0.974989 0.790692 0.00117337 	0.232355 0.242796 0.227324 0.244449 0.221641 0.992834 0.235984 0.233658 0.725295 0.474625 0.551068 0.00015674 0.368832 0.531602 0.999652 0.991764 0.75321 0.00141922 	0.244828 0.267571 0.250348 0.271689 0.326961 0.993665 0.198079 0.168086 0.726733 0.45467 0.609016 0.000303789 0.383889 0.607181 0.999625 0.980969 0.728701 0.00169001 		0.29212
